Host, Num Hops, RTT, Number of Original Message Bytes remaining in ICMP error
www.facebook.com, 10, 21.525569, 11210
www.merriam-webster.com, 23, 21.159803, 11210
www.twitter.com, 9, 44.769212, 9160
www.espn.com, 19, 21.703338, 11210
www.gmail.com, 10, 20.111052, 9160
www.youtube.com, 10, 22.048816, 9160
www.huffpost.com, 9, 19.439625, 11210
www.yahoo.com, 12, 212.310369, 9160
www.zillow.com, 14, 23.007586, 11210
www.instagram.com, 10, 20.656572, 11210
www.google.com, 10, 21.107290, 9160
www.lightorama.com, 11, 56.601842, 9160
